ARR_DATA(I)			Integral(5.434,5.394)				Integral(5.255,5.224)				Integral(4.671,4.619)		Integral(4.027,3.987)		
25083	0	0	101.716	0	0	0	41.2913	0	0	0	324.097	0	40.7007	0	
25172	0	0	101.868	0	0	0	41.5736	0	0	0	325.151	0	41.2612	0	
25264	0	0	101.671	0	0	0	41.746	0	0	0	323.562	0	41.327	0	
25354	0	0	101.246	0	0	0	41.3405	0	0	0	322.865	0	41.0969	0	
25443	0	0	101.365	0	0	0	41.0329	0	0	0	322.036	0	41.3134	0	
25535	0	0	101.581	0	0	0	41.5945	0	0	0	325.1	0	41.6241	0	
25627	0	0	101.351	0	0	0	41.5938	0	0	0	323.156	0	41.4729	0	
25720	0	0	101.177	0	0	0	41.6885	0	0	0	324.29	0	41.4986	0	
25809	0	0	100.899	0	0	0	41.6741	0	0	0	323.65	0	41.5878	0	
25898	0	0	101.105	0	0	0	41.5984	0	0	0	323.051	0	41.8145	0	
25989	0	0	100.925	0	0	0	41.6117	0	0	0	324.466	0	41.7565	0	
26080	0	0	100.752	0	0	0	41.7374	0	0	0	323.998	0	42.0387	0	
26169	0	0	100.589	0	0	0	41.4926	0	0	0	321.461	0	41.8985	0	
26261	0	0	100.75	0	0	0	41.8177	0	0	0	323.798	0	42.2002	0	
26350	0	0	100.252	0	0	0	41.5104	0	0	0	322.859	0	42.1734	0	
26441	0	0	100.566	0	0	0	41.9725	0	0	0	326.469	0	42.2567	0	
26530	0	0	100.602	0	0	0	42.1099	0	0	0	324.969	0	42.5013	0	
26619	0	0	100.17	0	0	0	41.8521	0	0	0	323.79	0	42.4282	0	
26710	0	0	100.491	0	0	0	42.0792	0	0	0	326.081	0	42.4971	0	
26802	0	0	100.093	0	0	0	41.901	0	0	0	324.107	0	42.6355	0	
26893	0	0	100.039	0	0	0	41.9311	0	0	0	324.476	0	42.6483	0	
26986	0	0	99.8861	0	0	0	42.0607	0	0	0	324.883	0	42.7157	0	
27077	0	0	99.7409	0	0	0	42.0407	0	0	0	324.532	0	42.9953	0	
27170	0	0	99.7607	0	0	0	42.4288	0	0	0	328.563	0	43.1097	0	
27260	0	0	99.7993	0	0	0	42.5386	0	0	0	323.963	0	42.8861	0	
27349	0	0	99.9511	0	0	0	42.4694	0	0	0	325.027	0	43.1999	0	
27441	0	0	99.8686	0	0	0	42.5717	0	0	0	326.671	0	43.0712	0	
27532	0	0	99.4313	0	0	0	42.3899	0	0	0	325.52	0	43.347	0	
27622	0	0	99.0505	0	0	0	42.1139	0	0	0	323.612	0	43.338	0	
27714	0	0	99.148	0	0	0	42.4648	0	0	0	325.553	0	43.3668	0	
27806	0	0	99.2708	0	0	0	42.6122	0	0	0	329.034	0	43.4397	0	
27903	0	0	100.022	0	0	0	43.8624	0	0	0	337.609	0	44.1584	0	
27995	0	0	98.7688	0	0	0	42.2039	0	0	0	323.447	0	43.5449	0	
28083	0	0	98.8169	0	0	0	42.268	0	0	0	324.624	0	43.6752	0	
28173	0	0	98.7193	0	0	0	42.5278	0	0	0	324.792	0	43.6112	0	
28266	0	0	98.3948	0	0	0	42.333	0	0	0	324.957	0	43.878	0	
28358	0	0	98.3299	0	0	0	42.4893	0	0	0	322.845	0	43.9493	0	
28447	0	0	98.4789	0	0	0	42.5697	0	0	0	326.32	0	44.2438	0	
28539	0	0	98.3349	0	0	0	42.6015	0	0	0	325.152	0	44.2357	0	
28631	0	0	98.4186	0	0	0	42.9679	0	0	0	325.75	0	44.2303	0	
28720	0	0	98.0659	0	0	0	42.4974	0	0	0	322.335	0	44.1353	0	
28815	0	0	98.1056	0	0	0	42.9926	0	0	0	327.754	0	44.4642	0	
28908	0	0	97.9743	0	0	0	42.6449	0	0	0	324.124	0	44.2751	0	
